ID	A1	A2	A3	A4	B1	B2	B3	B4
Experiment	Resazurin_Exp30	Resazurin_Exp30	Resazurin_Exp30	Resazurin_Exp30	Resazurin_Exp30	Resazurin_Exp30	Resazurin_Exp30	Resazurin_Exp30
Compound	CSE	H2O2	KBrO3	Menadione	RSL3_CSE	RSL3	Erastin_CSE	Erastin
mg/mmol	n/a	34.01	167	172.18	440.88	440.88	547.04	547.04
Total Volume mL	6	6	6	6	6	6	6	6
mg	n/a	30	500	10	2	2	1	1
mL	10	100	10	1	0.454	0.454	0.183	0.183
Stock Concentration	100	9	299	58	10	10	10	10
Working Concentration	100	9	299	6	0.1	0.1	0.1	0.1
Factor	1	1	1	10	100	100	100	100
Unit	%	mM	mM	mM	mM	mM	mM	mM
1	0	0	0	0	0	0	0	0
2	0.8	0.0002	0.05	0.0001	0.000016	0.000016	0.000016	0.000016
3	1.6	0.001	0.2	0.0004	0.000031	0.000031	0.000031	0.000031
4	3.1	0.004	0.8	0.002	0.000063	0.000063	0.000063	0.000063
5	6.25	0.016	3.125	0.006	0.000125	0.000125	0.000125	0.000125
6	12.5	0.063	12.5	0.025	0.00025	0.00025	0.00025	0.00025
7	25	0.25	50	0.1	0.0005	0.0005	0.0005	0.0005
8	50	1	200	0.4	0.001	0.001	0.001	0.001
Notes					2% CSE		2% CSE	
